reservoir,item,3-Aug-21,4-Aug-21,5-Aug-21,6-Aug-21,7-Aug-21,9-Aug-21,10-Aug-21,11-Aug-21,12-Aug-21,14-Aug-21,16-Aug-21,17-Aug-21,18-Aug-21,19-Aug-21,23-Aug-21,25-Aug-21,26-Aug-21,27-Aug-21,30-Aug-21,31-Aug-21,1-Sep-21,2-Sep-21,3-Sep-21,6-Sep-21,7-Sep-21,8-Sep-21,11-Sep-21,13-Sep-21,14-Sep-21,15-Sep-21
Linganamakki,PRL,551.08,551.34,551.55,551.74,551.9,552.12,552.18,552.22,552.27,552.3,552.36,552.38,552.41,552.44,552.47,552.47,552.45,552.45,552.47,552.48,552.48,552.51,552.51,552.56,552.64,552.73,552.94,553.26,553.46,553.58
Supa,PRL,552.5,552.8,553.3,553.65,553.95,554.33,554.41,554.45,554.5,554.53,554.56,554.59,554.63,554.63,554.74,554.8,554.76,554.71,554.74,554.76,554.76,554.77,554.77,554.96,555.92,555.28,555.85,556.25,556.68,556.8
Varahi,PRL,582.52,583.06,583.38,583.68,584.02,584.5,584.62,584.72,584.84,585.02,585.32,585.34,585.34,585.44,585.68,585.74,585.8,585.82,585.78,585.86,585.96,586.04,586.12,586.4,586.5,586.64,587.02,587.38,587.62,587.8
Harangi,PRL,870.37,870.63,870.37,870.2,870.42,870.23,870.32,870.31,870.35,870.52,871.02,871.06,871.09,871.14,871,871.03,870.97,870.9,870.94,871.08,871.12,871.11,871.1,870.99,871.04,871.19,871.1,871.18,871.26,871.22
Hemavathi,PRL,889.77,889.8,889.9,889.93,890.08,890.08,890.11,890.11,890.1,890.04,889.97,889.91,889.89,889.85,889.67,889.51,889.43,889.34,889.13,889.05,888.98,888.89,888.79,888.53,888.47,888.46,888.58,888.72,888.86,889
KRS,PRL,35.17,35.18,35.26,35.47,35.82,36.63,36.78,36.87,36.87,36.81,36.71,36.66,36.63,36.58,36.63,36.56,36.43,36.28,35.9,35.79,35.7,35.6,35.51,35.38,35.36,35.33,35.51,35.42,35.49,35.59
Kabini,PRL,694.99,695.1,695.23,695.37,695.6,695.55,695.5,695.51,695.6,695.71,695.91,695.9,695.91,695.91,695.88,695.81,695.64,695.47,695.23,695.2,695.11,694.96,694.84,694.71,694.82,695.13,695.5,695.85,696,695.96
Bhadra,PRL,656.78,656.91,657.15,657.29,657.3,657.22,657.29,657.28,657.2,657.35,657.4,657.41,657.41,657.41,657.44,657.46,657.45,657.43,657.47,657.52,657.53,657.55,657.55,657.53,657.53,657.54,657.59,657.61,657.59,657.55
Tungabhadra,PRL,497.45,497.51,497.41,497.43,497.39,497.4,497.37,497.17,497.6,497.71,497.69,497.71,497.71,497.71,497.71,497.64,497.6,497.53,497.53,497.58,497.65,497.66,497.69,497.7,497.67,497.67,497.69,497.68,497.67,497.66
Ghataprabha,PRL,662.09,662.22,662.48,662.18,662.06,662.3,662.36,662.42,662.51,662.79,662.61,662.91,662.91,662.91,662.91,662.91,662.91,662.91,662.91,662.91,662.91,662.91,662.91,662.91,662.91,662.91,662.91,662.91,662.91,662.91
